Name,Level,health
alien,1,66
alien,2,72.66666666666667
alien,3,79.33333333333334
alien,4,86
alien,5,92.0
alien,6,98.0
alien,7,104
alien,8,108.5
alien,9,113
alien,10,120.4
alien,11,127.80000000000001
alien,12,135.20000000000002
alien,13,142.60000000000002
alien,14,150
alien,15,162.14285714285714
alien,16,174.28571428571428
alien,17,186.42857142857142
alien,18,198.57142857142856
alien,19,210.7142857142857
alien,20,222.85714285714283
alien,21,235
alien,22,250.55555555555554
alien,23,266.1111111111111
alien,24,281.66666666666663
alien,25,297.2222222222222
alien,26,312.7777777777777
alien,27,328.33333333333326
alien,28,343.8888888888888
alien,29,359.44444444444434
alien,30,375
alien,31,395.77777777777777
alien,32,416.55555555555554
alien,33,437.3333333333333
alien,34,458.1111111111111
alien,35,478.88888888888886
alien,36,499.66666666666663
alien,37,520.4444444444445
alien,38,541.2222222222223
alien,39,562
alien,40,570.4545454545455
alien,41,578.909090909091
alien,42,587.3636363636365
alien,43,595.818181818182
alien,44,604.2727272727275
alien,45,612.727272727273
alien,46,621.1818181818185
alien,47,629.636363636364
alien,48,638.0909090909095
alien,49,646.545454545455
alien,50,655
alien,51,671.9
alien,52,688.8
alien,53,705.6999999999999
alien,54,722.5999999999999
alien,55,739.4999999999999
alien,56,756.3999999999999
alien,57,773.2999999999998
alien,58,790.1999999999998
alien,59,807.0999999999998
alien,60,823.9999999999998
alien,61,840.8999999999997
alien,62,857.7999999999997
alien,63,874.6999999999997
alien,64,891.5999999999997
alien,65,908.4999999999997
alien,66,925.3999999999996
alien,67,942.2999999999996
alien,68,959.1999999999996
alien,69,976.0999999999996
alien,70,992.9999999999995
alien,71,1009.8999999999995
alien,72,1026.7999999999995
alien,73,1043.6999999999996
alien,74,1060.5999999999997
alien,75,1077.4999999999998
alien,76,1094.3999999999999
alien,77,1111.3
alien,78,1128.2
alien,79,1145.1000000000001
alien,80,1162.0000000000002
alien,81,1178.9000000000003
alien,82,1195.8000000000004
alien,83,1212.7000000000005
alien,84,1229.6000000000006
alien,85,1246.5000000000007
alien,86,1263.4000000000008
alien,87,1280.3000000000009
alien,88,1297.200000000001
alien,89,1314.100000000001
alien,90,1331.0000000000011
alien,91,1347.9000000000012
alien,92,1364.8000000000013
alien,93,1381.7000000000014
alien,94,1398.6000000000015
alien,95,1415.5000000000016
alien,96,1432.4000000000017
alien,97,1449.3000000000018
alien,98,1466.2000000000019
alien,99,1483.100000000002
alien,100,1500
alien,101,1500
alien,102,1500
alien,103,1500
alien,104,1500
alien,105,1500
alien,106,1500
alien,107,1500
alien,108,1500
alien,109,1500
alien,110,1500
alien,111,1500
alien,112,1500
alien,113,1500
alien,114,1500
alien,115,1500
alien,116,1500
alien,117,1500
alien,118,1500
alien,119,1500
alien,120,1500
alien_cpt-alpha-omega,1,2500
alien_cpt-alpha-omega,2,2500.0
alien_cpt-alpha-omega,3,2500.0
alien_cpt-alpha-omega,4,2500.0
alien_cpt-alpha-omega,5,2500.0
alien_cpt-alpha-omega,6,2500.0
alien_cpt-alpha-omega,7,2500.0
alien_cpt-alpha-omega,8,2500.0
alien_cpt-alpha-omega,9,2500.0
alien_cpt-alpha-omega,10,2500
alien_cpt-alpha-omega,11,2500.0
alien_cpt-alpha-omega,12,2500.0
alien_cpt-alpha-omega,13,2500.0
alien_cpt-alpha-omega,14,2500.0
alien_cpt-alpha-omega,15,2500.0
alien_cpt-alpha-omega,16,2500.0
alien_cpt-alpha-omega,17,2500.0
alien_cpt-alpha-omega,18,2500.0
alien_cpt-alpha-omega,19,2500.0
alien_cpt-alpha-omega,20,2500
alien_cpt-alpha-omega,21,2625.0
alien_cpt-alpha-omega,22,2750.0
alien_cpt-alpha-omega,23,2875.0
alien_cpt-alpha-omega,24,3000.0
alien_cpt-alpha-omega,25,3125.0
alien_cpt-alpha-omega,26,3250.0
alien_cpt-alpha-omega,27,3375.0
alien_cpt-alpha-omega,28,3500.0
alien_cpt-alpha-omega,29,3625.0
alien_cpt-alpha-omega,30,3750
alien_cpt-alpha-omega,31,3875.0
alien_cpt-alpha-omega,32,4000.0
alien_cpt-alpha-omega,33,4125.0
alien_cpt-alpha-omega,34,4250.0
alien_cpt-alpha-omega,35,4375.0
alien_cpt-alpha-omega,36,4500.0
alien_cpt-alpha-omega,37,4625.0
alien_cpt-alpha-omega,38,4750.0
alien_cpt-alpha-omega,39,4875.0
alien_cpt-alpha-omega,40,5000
alien_cpt-alpha-omega,41,5125.0
alien_cpt-alpha-omega,42,5250.0
alien_cpt-alpha-omega,43,5375.0
alien_cpt-alpha-omega,44,5500.0
alien_cpt-alpha-omega,45,5625.0
alien_cpt-alpha-omega,46,5750.0
alien_cpt-alpha-omega,47,5875.0
alien_cpt-alpha-omega,48,6000.0
alien_cpt-alpha-omega,49,6125.0
alien_cpt-alpha-omega,50,6250
alien_cpt-alpha-omega,51,6375.0
alien_cpt-alpha-omega,52,6500.0
alien_cpt-alpha-omega,53,6625.0
alien_cpt-alpha-omega,54,6750.0
alien_cpt-alpha-omega,55,6875.0
alien_cpt-alpha-omega,56,7000.0
alien_cpt-alpha-omega,57,7125.0
alien_cpt-alpha-omega,58,7250.0
alien_cpt-alpha-omega,59,7375.0
alien_cpt-alpha-omega,60,7500
alien_cpt-alpha-omega,61,7625.0
alien_cpt-alpha-omega,62,7750.0
alien_cpt-alpha-omega,63,7875.0
alien_cpt-alpha-omega,64,8000.0
alien_cpt-alpha-omega,65,8125.0
alien_cpt-alpha-omega,66,8250.0
alien_cpt-alpha-omega,67,8375.0
alien_cpt-alpha-omega,68,8500.0
alien_cpt-alpha-omega,69,8625.0
alien_cpt-alpha-omega,70,8750
alien_cpt-alpha-omega,71,8875.0
alien_cpt-alpha-omega,72,9000.0
alien_cpt-alpha-omega,73,9125.0
alien_cpt-alpha-omega,74,9250.0
alien_cpt-alpha-omega,75,9375.0
alien_cpt-alpha-omega,76,9500.0
alien_cpt-alpha-omega,77,9625.0
alien_cpt-alpha-omega,78,9750.0
alien_cpt-alpha-omega,79,9875.0
alien_cpt-alpha-omega,80,10000
alien_cpt-alpha-omega,81,10125.0
alien_cpt-alpha-omega,82,10250.0
alien_cpt-alpha-omega,83,10375.0
alien_cpt-alpha-omega,84,10500.0
alien_cpt-alpha-omega,85,10625.0
alien_cpt-alpha-omega,86,10750.0
alien_cpt-alpha-omega,87,10875.0
alien_cpt-alpha-omega,88,11000.0
alien_cpt-alpha-omega,89,11125.0
alien_cpt-alpha-omega,90,11250.0
alien_cpt-alpha-omega,91,11375.0
alien_cpt-alpha-omega,92,11500.0
alien_cpt-alpha-omega,93,11625.0
alien_cpt-alpha-omega,94,11750.0
alien_cpt-alpha-omega,95,11875.0
alien_cpt-alpha-omega,96,12000.0
alien_cpt-alpha-omega,97,12125.0
alien_cpt-alpha-omega,98,12250.0
alien_cpt-alpha-omega,99,12375.0
alien_cpt-alpha-omega,100,12500
alien_cpt-alpha-omega,101,12500
alien_cpt-alpha-omega,102,12500
alien_cpt-alpha-omega,103,12500
alien_cpt-alpha-omega,104,12500
alien_cpt-alpha-omega,105,12500
alien_cpt-alpha-omega,106,12500
alien_cpt-alpha-omega,107,12500
alien_cpt-alpha-omega,108,12500
alien_cpt-alpha-omega,109,12500
alien_cpt-alpha-omega,110,12500
alien_cpt-alpha-omega,111,12500
alien_cpt-alpha-omega,112,12500
alien_cpt-alpha-omega,113,12500
alien_cpt-alpha-omega,114,12500
alien_cpt-alpha-omega,115,12500
alien_cpt-alpha-omega,116,12500
alien_cpt-alpha-omega,117,12500
alien_cpt-alpha-omega,118,12500
alien_cpt-alpha-omega,119,12500
alien_cpt-alpha-omega,120,12500
alien_general-zeta,1,4500
alien_general-zeta,2,4500.0
alien_general-zeta,3,4500.0
alien_general-zeta,4,4500.0
alien_general-zeta,5,4500.0
alien_general-zeta,6,4500.0
alien_general-zeta,7,4500.0
alien_general-zeta,8,4500.0
alien_general-zeta,9,4500.0
alien_general-zeta,10,4500
alien_general-zeta,11,4500.0
alien_general-zeta,12,4500.0
alien_general-zeta,13,4500.0
alien_general-zeta,14,4500.0
alien_general-zeta,15,4500.0
alien_general-zeta,16,4500.0
alien_general-zeta,17,4500.0
alien_general-zeta,18,4500.0
alien_general-zeta,19,4500.0
alien_general-zeta,20,4500
alien_general-zeta,21,4650.0
alien_general-zeta,22,4800.0
alien_general-zeta,23,4950.0
alien_general-zeta,24,5100.0
alien_general-zeta,25,5250.0
alien_general-zeta,26,5400.0
alien_general-zeta,27,5550.0
alien_general-zeta,28,5700.0
alien_general-zeta,29,5850.0
alien_general-zeta,30,6000
alien_general-zeta,31,6150.0
alien_general-zeta,32,6300.0
alien_general-zeta,33,6450.0
alien_general-zeta,34,6600.0
alien_general-zeta,35,6750.0
alien_general-zeta,36,6900.0
alien_general-zeta,37,7050.0
alien_general-zeta,38,7200.0
alien_general-zeta,39,7350.0
alien_general-zeta,40,7500
alien_general-zeta,41,7650.0
alien_general-zeta,42,7800.0
alien_general-zeta,43,7950.0
alien_general-zeta,44,8100.0
alien_general-zeta,45,8250.0
alien_general-zeta,46,8400.0
alien_general-zeta,47,8550.0
alien_general-zeta,48,8700.0
alien_general-zeta,49,8850.0
alien_general-zeta,50,9000
alien_general-zeta,51,9150.0
alien_general-zeta,52,9300.0
alien_general-zeta,53,9450.0
alien_general-zeta,54,9600.0
alien_general-zeta,55,9750.0
alien_general-zeta,56,9900.0
alien_general-zeta,57,10050.0
alien_general-zeta,58,10200.0
alien_general-zeta,59,10350.0
alien_general-zeta,60,10500
alien_general-zeta,61,10650.0
alien_general-zeta,62,10800.0
alien_general-zeta,63,10950.0
alien_general-zeta,64,11100.0
alien_general-zeta,65,11250.0
alien_general-zeta,66,11400.0
alien_general-zeta,67,11550.0
alien_general-zeta,68,11700.0
alien_general-zeta,69,11850.0
alien_general-zeta,70,12000
alien_general-zeta,71,12150.0
alien_general-zeta,72,12300.0
alien_general-zeta,73,12450.0
alien_general-zeta,74,12600.0
alien_general-zeta,75,12750.0
alien_general-zeta,76,12900.0
alien_general-zeta,77,13050.0
alien_general-zeta,78,13200.0
alien_general-zeta,79,13350.0
alien_general-zeta,80,13500
alien_general-zeta,81,13650.0
alien_general-zeta,82,13800.0
alien_general-zeta,83,13950.0
alien_general-zeta,84,14100.0
alien_general-zeta,85,14250.0
alien_general-zeta,86,14400.0
alien_general-zeta,87,14550.0
alien_general-zeta,88,14700.0
alien_general-zeta,89,14850.0
alien_general-zeta,90,15000.0
alien_general-zeta,91,15150.0
alien_general-zeta,92,15300.0
alien_general-zeta,93,15450.0
alien_general-zeta,94,15600.0
alien_general-zeta,95,15750.0
alien_general-zeta,96,15900.0
alien_general-zeta,97,16050.0
alien_general-zeta,98,16200.0
alien_general-zeta,99,16350.0
alien_general-zeta,100,16500
alien_general-zeta,101,16500
alien_general-zeta,102,16500
alien_general-zeta,103,16500
alien_general-zeta,104,16500
alien_general-zeta,105,16500
alien_general-zeta,106,16500
alien_general-zeta,107,16500
alien_general-zeta,108,16500
alien_general-zeta,109,16500
alien_general-zeta,110,16500
alien_general-zeta,111,16500
alien_general-zeta,112,16500
alien_general-zeta,113,16500
alien_general-zeta,114,16500
alien_general-zeta,115,16500
alien_general-zeta,116,16500
alien_general-zeta,117,16500
alien_general-zeta,118,16500
alien_general-zeta,119,16500
alien_general-zeta,120,16500
alien_lt-kappa,1,2500
alien_lt-kappa,2,2500.0
alien_lt-kappa,3,2500.0
alien_lt-kappa,4,2500.0
alien_lt-kappa,5,2500.0
alien_lt-kappa,6,2500.0
alien_lt-kappa,7,2500.0
alien_lt-kappa,8,2500.0
alien_lt-kappa,9,2500.0
alien_lt-kappa,10,2500
alien_lt-kappa,11,2500.0
alien_lt-kappa,12,2500.0
alien_lt-kappa,13,2500.0
alien_lt-kappa,14,2500.0
alien_lt-kappa,15,2500.0
alien_lt-kappa,16,2500.0
alien_lt-kappa,17,2500.0
alien_lt-kappa,18,2500.0
alien_lt-kappa,19,2500.0
alien_lt-kappa,20,2500
alien_lt-kappa,21,2625.0
alien_lt-kappa,22,2750.0
alien_lt-kappa,23,2875.0
alien_lt-kappa,24,3000.0
alien_lt-kappa,25,3125.0
alien_lt-kappa,26,3250.0
alien_lt-kappa,27,3375.0
alien_lt-kappa,28,3500.0
alien_lt-kappa,29,3625.0
alien_lt-kappa,30,3750
alien_lt-kappa,31,3875.0
alien_lt-kappa,32,4000.0
alien_lt-kappa,33,4125.0
alien_lt-kappa,34,4250.0
alien_lt-kappa,35,4375.0
alien_lt-kappa,36,4500.0
alien_lt-kappa,37,4625.0
alien_lt-kappa,38,4750.0
alien_lt-kappa,39,4875.0
alien_lt-kappa,40,5000
alien_lt-kappa,41,5125.0
alien_lt-kappa,42,5250.0
alien_lt-kappa,43,5375.0
alien_lt-kappa,44,5500.0
alien_lt-kappa,45,5625.0
alien_lt-kappa,46,5750.0
alien_lt-kappa,47,5875.0
alien_lt-kappa,48,6000.0
alien_lt-kappa,49,6125.0
alien_lt-kappa,50,6250
alien_lt-kappa,51,6375.0
alien_lt-kappa,52,6500.0
alien_lt-kappa,53,6625.0
alien_lt-kappa,54,6750.0
alien_lt-kappa,55,6875.0
alien_lt-kappa,56,7000.0
alien_lt-kappa,57,7125.0
alien_lt-kappa,58,7250.0
alien_lt-kappa,59,7375.0
alien_lt-kappa,60,7500
alien_lt-kappa,61,7625.0
alien_lt-kappa,62,7750.0
alien_lt-kappa,63,7875.0
alien_lt-kappa,64,8000.0
alien_lt-kappa,65,8125.0
alien_lt-kappa,66,8250.0
alien_lt-kappa,67,8375.0
alien_lt-kappa,68,8500.0
alien_lt-kappa,69,8625.0
alien_lt-kappa,70,8750
alien_lt-kappa,71,8875.0
alien_lt-kappa,72,9000.0
alien_lt-kappa,73,9125.0
alien_lt-kappa,74,9250.0
alien_lt-kappa,75,9375.0
alien_lt-kappa,76,9500.0
alien_lt-kappa,77,9625.0
alien_lt-kappa,78,9750.0
alien_lt-kappa,79,9875.0
alien_lt-kappa,80,10000
alien_lt-kappa,81,10125.0
alien_lt-kappa,82,10250.0
alien_lt-kappa,83,10375.0
alien_lt-kappa,84,10500.0
alien_lt-kappa,85,10625.0
alien_lt-kappa,86,10750.0
alien_lt-kappa,87,10875.0
alien_lt-kappa,88,11000.0
alien_lt-kappa,89,11125.0
alien_lt-kappa,90,11250.0
alien_lt-kappa,91,11375.0
alien_lt-kappa,92,11500.0
alien_lt-kappa,93,11625.0
alien_lt-kappa,94,11750.0
alien_lt-kappa,95,11875.0
alien_lt-kappa,96,12000.0
alien_lt-kappa,97,12125.0
alien_lt-kappa,98,12250.0
alien_lt-kappa,99,12375.0
alien_lt-kappa,100,12500
alien_lt-kappa,101,12500
alien_lt-kappa,102,12500
alien_lt-kappa,103,12500
alien_lt-kappa,104,12500
alien_lt-kappa,105,12500
alien_lt-kappa,106,12500
alien_lt-kappa,107,12500
alien_lt-kappa,108,12500
alien_lt-kappa,109,12500
alien_lt-kappa,110,12500
alien_lt-kappa,111,12500
alien_lt-kappa,112,12500
alien_lt-kappa,113,12500
alien_lt-kappa,114,12500
alien_lt-kappa,115,12500
alien_lt-kappa,116,12500
alien_lt-kappa,117,12500
alien_lt-kappa,118,12500
alien_lt-kappa,119,12500
alien_lt-kappa,120,12500
alienexotrooper,1,75
alienexotrooper,2,75.0
alienexotrooper,3,75.0
