Name,Level,dr,er,fire,poison,cold,rad
alien,1,2,2,2,2,2,2
alien,2,2.0,2.0,2.0,2.0,2.0,2.0
alien,3,2.0,2.0,2.0,2.0,2.0,2.0
alien,4,2,2,2,2,2,2
alien,5,2.0,2.0,2.0,2.0,2.0,2.0
alien,6,2.0,2.0,2.0,2.0,2.0,2.0
alien,7,2,2,2,2,2,2
alien,8,6.0,6.0,6.0,6.0,6.0,6.0
alien,9,10,10,10,10,10,10
alien,10,10.0,10.0,10.0,10.0,10.0,10.0
alien,11,10.0,10.0,10.0,10.0,10.0,10.0
alien,12,10.0,10.0,10.0,10.0,10.0,10.0
alien,13,10.0,10.0,10.0,10.0,10.0,10.0
alien,14,10,10,10,10,10,10
alien,15,12.142857142857142,12.142857142857142,12.142857142857142,12.142857142857142,12.142857142857142,12.142857142857142
alien,16,14.285714285714285,14.285714285714285,14.285714285714285,14.285714285714285,14.285714285714285,14.285714285714285
alien,17,16.428571428571427,16.428571428571427,16.428571428571427,16.428571428571427,16.428571428571427,16.428571428571427
alien,18,18.57142857142857,18.57142857142857,18.57142857142857,18.57142857142857,18.57142857142857,18.57142857142857
alien,19,20.71428571428571,20.71428571428571,20.71428571428571,20.71428571428571,20.71428571428571,20.71428571428571
alien,20,22.857142857142854,22.857142857142854,22.857142857142854,22.857142857142854,22.857142857142854,22.857142857142854
alien,21,25,25,25,25,25,25
alien,22,25.0,25.0,25.0,25.0,25.0,25.0
alien,23,25.0,25.0,25.0,25.0,25.0,25.0
alien,24,25.0,25.0,25.0,25.0,25.0,25.0
alien,25,25.0,25.0,25.0,25.0,25.0,25.0
alien,26,25.0,25.0,25.0,25.0,25.0,25.0
alien,27,25.0,25.0,25.0,25.0,25.0,25.0
alien,28,25.0,25.0,25.0,25.0,25.0,25.0
alien,29,25.0,25.0,25.0,25.0,25.0,25.0
alien,30,25,25,25,25,25,25
alien,31,27.77777777777778,27.77777777777778,27.77777777777778,27.77777777777778,27.77777777777778,27.77777777777778
alien,32,30.555555555555557,30.555555555555557,30.555555555555557,30.555555555555557,30.555555555555557,30.555555555555557
alien,33,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
alien,34,36.111111111111114,36.111111111111114,36.111111111111114,36.111111111111114,36.111111111111114,36.111111111111114
alien,35,38.88888888888889,38.88888888888889,38.88888888888889,38.88888888888889,38.88888888888889,38.88888888888889
alien,36,41.66666666666667,41.66666666666667,41.66666666666667,41.66666666666667,41.66666666666667,41.66666666666667
alien,37,44.44444444444445,44.44444444444445,44.44444444444445,44.44444444444445,44.44444444444445,44.44444444444445
alien,38,47.22222222222223,47.22222222222223,47.22222222222223,47.22222222222223,47.22222222222223,47.22222222222223
alien,39,50,50,50,50,50,50
alien,40,54.54545454545455,54.54545454545455,54.54545454545455,54.54545454545455,54.54545454545455,54.54545454545455
alien,41,59.09090909090909,59.09090909090909,59.09090909090909,59.09090909090909,59.09090909090909,59.09090909090909
alien,42,63.63636363636364,63.63636363636364,63.63636363636364,63.63636363636364,63.63636363636364,63.63636363636364
alien,43,68.18181818181819,68.18181818181819,68.18181818181819,68.18181818181819,68.18181818181819,68.18181818181819
alien,44,72.72727272727273,72.72727272727273,72.72727272727273,72.72727272727273,72.72727272727273,72.72727272727273
alien,45,77.27272727272728,77.27272727272728,77.27272727272728,77.27272727272728,77.27272727272728,77.27272727272728
alien,46,81.81818181818183,81.81818181818183,81.81818181818183,81.81818181818183,81.81818181818183,81.81818181818183
alien,47,86.36363636363637,86.36363636363637,86.36363636363637,86.36363636363637,86.36363636363637,86.36363636363637
alien,48,90.90909090909092,90.90909090909092,90.90909090909092,90.90909090909092,90.90909090909092,90.90909090909092
alien,49,95.45454545454547,95.45454545454547,95.45454545454547,95.45454545454547,95.45454545454547,95.45454545454547
alien,50,100,100,100,100,100,100
alien,51,101.0,101.0,101.0,101.0,101.0,101.0
alien,52,102.0,102.0,102.0,102.0,102.0,102.0
alien,53,103.0,103.0,103.0,103.0,103.0,103.0
alien,54,104.0,104.0,104.0,104.0,104.0,104.0
alien,55,105.0,105.0,105.0,105.0,105.0,105.0
alien,56,106.0,106.0,106.0,106.0,106.0,106.0
alien,57,107.0,107.0,107.0,107.0,107.0,107.0
alien,58,108.0,108.0,108.0,108.0,108.0,108.0
alien,59,109.0,109.0,109.0,109.0,109.0,109.0
alien,60,110.0,110.0,110.0,110.0,110.0,110.0
alien,61,111.0,111.0,111.0,111.0,111.0,111.0
alien,62,112.0,112.0,112.0,112.0,112.0,112.0
alien,63,113.0,113.0,113.0,113.0,113.0,113.0
alien,64,114.0,114.0,114.0,114.0,114.0,114.0
alien,65,115.0,115.0,115.0,115.0,115.0,115.0
alien,66,116.0,116.0,116.0,116.0,116.0,116.0
alien,67,117.0,117.0,117.0,117.0,117.0,117.0
alien,68,118.0,118.0,118.0,118.0,118.0,118.0
alien,69,119.0,119.0,119.0,119.0,119.0,119.0
alien,70,120.0,120.0,120.0,120.0,120.0,120.0
alien,71,121.0,121.0,121.0,121.0,121.0,121.0
alien,72,122.0,122.0,122.0,122.0,122.0,122.0
alien,73,123.0,123.0,123.0,123.0,123.0,123.0
alien,74,124.0,124.0,124.0,124.0,124.0,124.0
alien,75,125.0,125.0,125.0,125.0,125.0,125.0
alien,76,126.0,126.0,126.0,126.0,126.0,126.0
alien,77,127.0,127.0,127.0,127.0,127.0,127.0
alien,78,128.0,128.0,128.0,128.0,128.0,128.0
alien,79,129.0,129.0,129.0,129.0,129.0,129.0
alien,80,130.0,130.0,130.0,130.0,130.0,130.0
alien,81,131.0,131.0,131.0,131.0,131.0,131.0
alien,82,132.0,132.0,132.0,132.0,132.0,132.0
alien,83,133.0,133.0,133.0,133.0,133.0,133.0
alien,84,134.0,134.0,134.0,134.0,134.0,134.0
alien,85,135.0,135.0,135.0,135.0,135.0,135.0
alien,86,136.0,136.0,136.0,136.0,136.0,136.0
alien,87,137.0,137.0,137.0,137.0,137.0,137.0
alien,88,138.0,138.0,138.0,138.0,138.0,138.0
alien,89,139.0,139.0,139.0,139.0,139.0,139.0
alien,90,140.0,140.0,140.0,140.0,140.0,140.0
alien,91,141.0,141.0,141.0,141.0,141.0,141.0
alien,92,142.0,142.0,142.0,142.0,142.0,142.0
alien,93,143.0,143.0,143.0,143.0,143.0,143.0
alien,94,144.0,144.0,144.0,144.0,144.0,144.0
alien,95,145.0,145.0,145.0,145.0,145.0,145.0
alien,96,146.0,146.0,146.0,146.0,146.0,146.0
alien,97,147.0,147.0,147.0,147.0,147.0,147.0
alien,98,148.0,148.0,148.0,148.0,148.0,148.0
alien,99,149.0,149.0,149.0,149.0,149.0,149.0
alien,100,150,150,150,150,150,150
alien,101,150,150,150,150,150,150
alien,102,150,150,150,150,150,150
alien,103,150,150,150,150,150,150
alien,104,150,150,150,150,150,150
alien,105,150,150,150,150,150,150
alien,106,150,150,150,150,150,150
alien,107,150,150,150,150,150,150
alien,108,150,150,150,150,150,150
alien,109,150,150,150,150,150,150
alien,110,150,150,150,150,150,150
alien,111,150,150,150,150,150,150
alien,112,150,150,150,150,150,150
alien,113,150,150,150,150,150,150
alien,114,150,150,150,150,150,150
alien,115,150,150,150,150,150,150
alien,116,150,150,150,150,150,150
alien,117,150,150,150,150,150,150
alien,118,150,150,150,150,150,150
alien,119,150,150,150,150,150,150
alien,120,150,150,150,150,150,150
alien_cpt-alpha-omega,1,50,50,50,50,50,50
alien_cpt-alpha-omega,2,50.0,50.0,50.0,50.0,50.0,50.0
alien_cpt-alpha-omega,3,50.0,50.0,50.0,50.0,50.0,50.0
alien_cpt-alpha-omega,4,50.0,50.0,50.0,50.0,50.0,50.0
alien_cpt-alpha-omega,5,50.0,50.0,50.0,50.0,50.0,50.0
alien_cpt-alpha-omega,6,50.0,50.0,50.0,50.0,50.0,50.0
alien_cpt-alpha-omega,7,50.0,50.0,50.0,50.0,50.0,50.0
alien_cpt-alpha-omega,8,50.0,50.0,50.0,50.0,50.0,50.0
alien_cpt-alpha-omega,9,50.0,50.0,50.0,50.0,50.0,50.0
alien_cpt-alpha-omega,10,50,50,50,50,50,50
alien_cpt-alpha-omega,11,50.0,50.0,50.0,50.0,50.0,50.0
alien_cpt-alpha-omega,12,50.0,50.0,50.0,50.0,50.0,50.0
alien_cpt-alpha-omega,13,50.0,50.0,50.0,50.0,50.0,50.0
alien_cpt-alpha-omega,14,50.0,50.0,50.0,50.0,50.0,50.0
alien_cpt-alpha-omega,15,50.0,50.0,50.0,50.0,50.0,50.0
alien_cpt-alpha-omega,16,50.0,50.0,50.0,50.0,50.0,50.0
alien_cpt-alpha-omega,17,50.0,50.0,50.0,50.0,50.0,50.0
alien_cpt-alpha-omega,18,50.0,50.0,50.0,50.0,50.0,50.0
alien_cpt-alpha-omega,19,50.0,50.0,50.0,50.0,50.0,50.0
alien_cpt-alpha-omega,20,50,50,50,50,50,50
alien_cpt-alpha-omega,21,55.0,55.0,55.0,55.0,55.0,55.0
alien_cpt-alpha-omega,22,60.0,60.0,60.0,60.0,60.0,60.0
alien_cpt-alpha-omega,23,65.0,65.0,65.0,65.0,65.0,65.0
alien_cpt-alpha-omega,24,70.0,70.0,70.0,70.0,70.0,70.0
alien_cpt-alpha-omega,25,75.0,75.0,75.0,75.0,75.0,75.0
alien_cpt-alpha-omega,26,80.0,80.0,80.0,80.0,80.0,80.0
alien_cpt-alpha-omega,27,85.0,85.0,85.0,85.0,85.0,85.0
alien_cpt-alpha-omega,28,90.0,90.0,90.0,90.0,90.0,90.0
alien_cpt-alpha-omega,29,95.0,95.0,95.0,95.0,95.0,95.0
alien_cpt-alpha-omega,30,100,100,100,100,100,100
alien_cpt-alpha-omega,31,105.0,105.0,105.0,105.0,105.0,105.0
alien_cpt-alpha-omega,32,110.0,110.0,110.0,110.0,110.0,110.0
alien_cpt-alpha-omega,33,115.0,115.0,115.0,115.0,115.0,115.0
alien_cpt-alpha-omega,34,120.0,120.0,120.0,120.0,120.0,120.0
alien_cpt-alpha-omega,35,125.0,125.0,125.0,125.0,125.0,125.0
alien_cpt-alpha-omega,36,130.0,130.0,130.0,130.0,130.0,130.0
alien_cpt-alpha-omega,37,135.0,135.0,135.0,135.0,135.0,135.0
alien_cpt-alpha-omega,38,140.0,140.0,140.0,140.0,140.0,140.0
alien_cpt-alpha-omega,39,145.0,145.0,145.0,145.0,145.0,145.0
alien_cpt-alpha-omega,40,150,150,150,150,150,150
alien_cpt-alpha-omega,41,150.0,150.0,150.0,150.0,150.0,150.0
alien_cpt-alpha-omega,42,150.0,150.0,150.0,150.0,150.0,150.0
alien_cpt-alpha-omega,43,150.0,150.0,150.0,150.0,150.0,150.0
alien_cpt-alpha-omega,44,150.0,150.0,150.0,150.0,150.0,150.0
alien_cpt-alpha-omega,45,150.0,150.0,150.0,150.0,150.0,150.0
alien_cpt-alpha-omega,46,150.0,150.0,150.0,150.0,150.0,150.0
