###=SUM(D2:D14280)#=SUM(E2:E14280)#=SUM(F2:F14280)#=SUM(G2:G14280)#=SUM(H2:H14280)#=SUM(I2:I14280)
=IF(AND(CalcDamage!$K$24=B2; CalcDamage!$L$24=C2); TRUE; FALSE)#alien#1#=IF(A2;2;0)#=IF(A2;2;0)#=IF(A2;2;0)#=IF(A2;2;0)#=IF(A2;2;0)#=IF(A2;2;0)
=IF(AND(CalcDamage!$K$24=B3; CalcDamage!$L$24=C3); TRUE; FALSE)#alien#2#=IF(A3;2,0;0)#=IF(A3;2,0;0)#=IF(A3;2,0;0)#=IF(A3;2,0;0)#=IF(A3;2,0;0)#=IF(A3;2,0;0)
=IF(AND(CalcDamage!$K$24=B4; CalcDamage!$L$24=C4); TRUE; FALSE)#alien#3#=IF(A4;2,0;0)#=IF(A4;2,0;0)#=IF(A4;2,0;0)#=IF(A4;2,0;0)#=IF(A4;2,0;0)#=IF(A4;2,0;0)
=IF(AND(CalcDamage!$K$24=B5; CalcDamage!$L$24=C5); TRUE; FALSE)#alien#4#=IF(A5;2;0)#=IF(A5;2;0)#=IF(A5;2;0)#=IF(A5;2;0)#=IF(A5;2;0)#=IF(A5;2;0)
=IF(AND(CalcDamage!$K$24=B6; CalcDamage!$L$24=C6); TRUE; FALSE)#alien#5#=IF(A6;2,0;0)#=IF(A6;2,0;0)#=IF(A6;2,0;0)#=IF(A6;2,0;0)#=IF(A6;2,0;0)#=IF(A6;2,0;0)
=IF(AND(CalcDamage!$K$24=B7; CalcDamage!$L$24=C7); TRUE; FALSE)#alien#6#=IF(A7;2,0;0)#=IF(A7;2,0;0)#=IF(A7;2,0;0)#=IF(A7;2,0;0)#=IF(A7;2,0;0)#=IF(A7;2,0;0)
=IF(AND(CalcDamage!$K$24=B8; CalcDamage!$L$24=C8); TRUE; FALSE)#alien#7#=IF(A8;2;0)#=IF(A8;2;0)#=IF(A8;2;0)#=IF(A8;2;0)#=IF(A8;2;0)#=IF(A8;2;0)
=IF(AND(CalcDamage!$K$24=B9; CalcDamage!$L$24=C9); TRUE; FALSE)#alien#8#=IF(A9;6,0;0)#=IF(A9;6,0;0)#=IF(A9;6,0;0)#=IF(A9;6,0;0)#=IF(A9;6,0;0)#=IF(A9;6,0;0)
=IF(AND(CalcDamage!$K$24=B10; CalcDamage!$L$24=C10); TRUE; FALSE)#alien#9#=IF(A10;10;0)#=IF(A10;10;0)#=IF(A10;10;0)#=IF(A10;10;0)#=IF(A10;10;0)#=IF(A10;10;0)
=IF(AND(CalcDamage!$K$24=B11; CalcDamage!$L$24=C11); TRUE; FALSE)#alien#10#=IF(A11;10,0;0)#=IF(A11;10,0;0)#=IF(A11;10,0;0)#=IF(A11;10,0;0)#=IF(A11;10,0;0)#=IF(A11;10,0;0)
