ID,Name,ID,AppType,Property,Val1,Val2,Curve
0075eac6,mod_Legendary_Weapon1_Melee_CritsHealGroup,0075eac6
,,004519f4,MullAdd,Value,1.0,0.0,
0072a8c1,zzz_mod_Incinerator_Gourmand,0072a8c1
,,004519f4,MullAdd,Value,1.0,0.0,
0072a8bf,zzz_mod_Incinerator_Launcher_MultiShot,0072a8bf
,,0072a8bf,Set,NumProjectiles,2,2,
0072a8be,zzz_mod_Incinerator_Launcher_Heavy,0072a8be
,,0072a8be,MullAdd,Weight,0.6,0.0,
,,0072a8be,MullAdd,Value,0.4,0.0,
,,0072a8be,MullAdd,DamageTypeValues,Fire,2.0,
,,0072a8be,Add,Durability,-8,0,
00729bf5,mod_Cremator_Receiver_TankNapalm,00729bf5
,,00729bf5,MullAdd,Weight,0.3,0.0,
,,00729bf5,MullAdd,Value,0.5,0.0,
,,00729bf5,Add,DamageBonusMult,0.0,0.0,"Weapons\WeaponMods\Incinerator_Mod_Napalmer.json
{'curve': [{'x': 30, 'y': 0.2}, {'x': 40, 'y': 0.3}, {'x': 50, 'y': 0.4}]}"
,,00729bf5,Add,Durability,-8,0,
00729bf4,mod_Cremator_MagTank_Large,00729bf4
,,00729bf4,MullAdd,APCost,0.1,0.0,
,,00729bf4,MullAdd,Weight,0.3,0.0,
,,00729bf4,MullAdd,AmmoCapacity,0.5,0.0,
,,00729bf4,MullAdd,Value,0.25,0.0,
,,00729bf4,Add,Durability,-2,0,
00729bf1,mod_Cremator_BarrelHose_Incinerator,00729bf1
,,0027abfa,MullAdd,ConIronSights,-0.25,0.0,
,,0027abfa,MullAdd,MaxRange,1.0,0.0,"Weapons\WeaponMods\Weapon_PARENT_Mod_LongRange_MaxRange.json
{'curve': [{'x': 1, 'y': 16}, {'x': 100, 'y': 16}]}"
,,0027abfa,MullAdd,MinRange,1.0,0.0,"Weapons\WeaponMods\Weapon_PARENT_Mod_LongRange_MinRange.json
{'curve': [{'x': 1, 'y': 9}, {'x': 100, 'y': 9}]}"
,,0027abfa,MullAdd,Value,0.2,0.0,
,,0027abfa,Add,Durability,-3,0,
00729bf0,mod_Cremator_MagTank_Fast,00729bf0
,,0052441b,MullAdd,APCost,-0.05,0.0,
,,0052441b,MullAdd,ReloadSpeed,0.3,0.0,
,,0052441b,MullAdd,Weight,0.1,0.0,
,,0052441b,MullAdd,Value,0.2,0.0,
,,0052441b,Add,Durability,-2,0,
00729bef,mod_Cremator_BarrelHose_MultiShot,00729bef
,,0027abfa,MullAdd,ConIronSights,-0.25,0.0,
,,0027abfa,MullAdd,MaxRange,1.0,0.0,"Weapons\WeaponMods\Weapon_PARENT_Mod_LongRange_MaxRange.json
{'curve': [{'x': 1, 'y': 16}, {'x': 100, 'y': 16}]}"
,,0027abfa,MullAdd,MinRange,1.0,0.0,"Weapons\WeaponMods\Weapon_PARENT_Mod_LongRange_MinRange.json
{'curve': [{'x': 1, 'y': 9}, {'x': 100, 'y': 9}]}"
,,0027abfa,MullAdd,Value,0.2,0.0,
,,0027abfa,Add,Durability,-3,0,
,,00729bef,Set,NumProjectiles,4,4,
,,00729bef,Add,Durability,-8,0,
00729bee,_PARENT_mod_GENERIC_Damage_Fire_Half,00729bee
,,00729bee,MullAdd,Weight,0.3,0.0,
,,00729bee,MullAdd,Value,0.5,0.0,
,,00729bee,MullAdd,DamageTypeValues,Fire,0.4,
,,00729bee,Add,Durability,-8,0,
00729bed,mod_Cremator_MagTank_ExtraLarge,00729bed
,,00729bed,MullAdd,APCost,0.1,0.0,
,,00729bed,MullAdd,ReloadSpeed,-0.2,0.0,
,,00729bed,MullAdd,SightedTransition,0.03,0.0,
,,00729bed,MullAdd,SightedTransition,0.03,0.0,
,,00729bed,MullAdd,Weight,0.3,0.0,
,,00729bed,MullAdd,AmmoCapacity,1.0,0.0,
,,00729bed,MullAdd,Value,0.4,0.0,
,,00729bed,Add,Durability,-3,0,
00729bea,mod_Cremator_BarrelHose_Heavy,00729bea
,,0027abfa,MullAdd,ConIronSights,-0.25,0.0,
,,0027abfa,MullAdd,MaxRange,1.0,0.0,"Weapons\WeaponMods\Weapon_PARENT_Mod_LongRange_MaxRange.json
{'curve': [{'x': 1, 'y': 16}, {'x': 100, 'y': 16}]}"
,,0027abfa,MullAdd,MinRange,1.0,0.0,"Weapons\WeaponMods\Weapon_PARENT_Mod_LongRange_MinRange.json
{'curve': [{'x': 1, 'y': 9}, {'x': 100, 'y': 9}]}"
,,0027abfa,MullAdd,Value,0.2,0.0,
,,0027abfa,Add,Durability,-3,0,
,,00729bea,Set,AttackDelay,1.2,1.2,
,,00729bea,Set,ReloadSpeed,1.2,1.2,
,,00729bea,MullAdd,Weight,0.4,0.0,
,,00729bea,MullAdd,Value,0.4,0.0,
,,00729bea,Add,Durability,-8,0,
,,00729bea,Add,DamageTypeValues,Fire,0.0,"Weapons\WeaponMods\Incinerator_Mod_Heavy.json
{'curve': [{'x': 30, 'y': 30}, {'x': 40, 'y': 45}, {'x': 50, 'y': 60}]}"
00729be7,mod_Cremator_BarrelHose_DoubleShot,00729be7
,,0027abfa,MullAdd,ConIronSights,-0.25,0.0,
,,0027abfa,MullAdd,MaxRange,1.0,0.0,"Weapons\WeaponMods\Weapon_PARENT_Mod_LongRange_MaxRange.json
{'curve': [{'x': 1, 'y': 16}, {'x': 100, 'y': 16}]}"
,,0027abfa,MullAdd,MinRange,1.0,0.0,"Weapons\WeaponMods\Weapon_PARENT_Mod_LongRange_MinRange.json
{'curve': [{'x': 1, 'y': 9}, {'x': 100, 'y': 9}]}"
,,0027abfa,MullAdd,Value,0.2,0.0,
,,0027abfa,Add,Durability,-3,0,
,,00729be7,Set,NumProjectiles,2,2,
,,00729be7,Add,Durability,-8,0,
006e1312,mod_CircuitBreaker_Grip_Recoil-HipAccuracy,006e1312
,,00524415,MullAdd,RecoilMaxDegree,-0.125,0.0,
,,00524415,MullAdd,RecoilMinDegree,-0.125,0.0,
,,00524415,MullAdd,APCost,-0.05,0.0,
,,00524415,MullAdd,Weight,0.05,0.0,
,,00524415,MullAdd,Value,0.2,0.0,
,,00524415,Add,Durability,-2,0,
,,00524413,MullAdd,ConIronSights,-0.05,0.0,
,,00524413,MullAdd,MaxConDegree,-0.25,0.0,
,,00524413,MullAdd,MinConDegree,-0.125,0.0,
,,00524413,MullAdd,SightedTransition,-0.015,0.0,
,,00524413,MullAdd,Weight,0.05,0.0,
,,00524413,MullAdd,Value,0.2,0.0,
,,00524413,Add,Durability,-3,0,
006e1311,mod_CircuitBreaker_Grip_Recoil-SecondaryDMG,006e1311
,,00524415,MullAdd,RecoilMaxDegree,-0.125,0.0,
,,00524415,MullAdd,RecoilMinDegree,-0.125,0.0,
,,00524415,MullAdd,APCost,-0.05,0.0,
,,00524415,MullAdd,Weight,0.05,0.0,
,,00524415,MullAdd,Value,0.2,0.0,
,,00524415,Add,Durability,-2,0,
,,0052441c,MullAdd,SecondaryDamage,0.0,0.0,"Weapons\WeaponMods\Weapon_PARENT_Mod_Grip_SecDamage_Dual.json
{'curve': [{'x': 1, 'y': 0.25}, {'x': 100, 'y': 0.25}]}"
,,0052441c,MullAdd,Weight,0.15,0.0,
,,0052441c,MullAdd,Value,0.3,0.0,
,,0052441c,Add,Durability,0,0,"Weapons\Weap_10mmDMG.json
{'curve': [{'x': 1, 'y': 15}, {'x': 5, 'y': 15}, {'x': 10, 'y': 15}, {'x': 15, 'y': 18}, {'x': 20, 'y': 18}, {'x': 25, 'y': 21}, {'x': 30, 'y': 21}, {'x': 35, 'y': 24}, {'x': 40, 'y': 24}, {'x': 45, 'y': 28}, {'x': 50, 'y': 28}]}"
006e130f,mod_CircuitBreaker_SCOPE_Glowsight_Base,006e130f
,,005249e4,MullAdd,ConIronSights,-0.1,0.0,
,,005249e4,MullAdd,APCost,-0.075,0.0,
,,005249e4,MullAdd,SightedTransition,-0.05,0.0,
,,005249e4,MullAdd,Weight,0.013,0.0,
,,005249e4,MullAdd,Value,0.1,0.0,
006e130e,mod_CircuitBreaker_SCOPE_Reflex_Base,006e130e
,,005249e6,Set,ZoomFOVMult,1.5,0.0,
,,005249e6,MullAdd,ConIronSights,-0.15,0.0,
