ID,NAME,ANIM_FIRE,RUMBLE_L,RUMBLE_R,RUMBLE_D,ANIM_RELOAD,SIGHTED_TRANS,UNSIGHTED_TRANS,SPEED,ATTACK_DELAY,CAPACITY,WEIGHT,ATTACK_SPEED,AP
00004822,10mm,0.0,0.6,0.6,0.2,1.967,0.12,0.15,1.0,0.233,12,3.0,0.667,20.0
0010db0f,10mmSMG,0.0,0.6,0.6,0.2,3.0,0.12,0.15,1.0,0.233,30,3.0,2.2,28.0
006e58b3,10mmSMGOverheating,0.0,0.6,0.6,0.2,3.0,0.12,0.15,1.0,0.233,0,3.0,2.2,28.0
006fba5e,10mmSMG_ElectricTestingGun,0.0,0.6,0.6,0.2,3.0,0.12,0.15,1.0,0.233,30,3.0,2.2,28.0
006d3c69,10mm_CircuitBreaker,0.0,0.6,0.6,0.2,1.967,0.12,0.15,1.0,0.233,8,3.0,0.667,20.0
000ce97d,44,0.0,0.9,0.8,0.25,3.333,0.12,0.15,1.0,0.15,6,4.0,0.833,35.0
005fe0b8,44_MedicalMalpractice,0.0,0.9,0.8,0.25,3.333,0.15,0.15,1.0,0.15,6,4.0,0.833,35.0
005eefe4,44_NONPLAYABLE,0.0,0.9,0.8,0.25,3.333,0.12,0.15,1.0,0.15,6,4.0,0.833,35.0
0003a0d4,50CalMachineGun,0.033,1.0,1.0,0.15,5.0,0.3,0.3,1.0,0.0,250,18.0,2.2,30.0
0072bc2f,AC_MQ02_Stage_JugglingGrenade,0.7,0.1,0.3,0.15,2.333,0.25,0.25,1.0,0.0,0,0.5,1.833,20.0
0073553c,AC_MQ02_Stage_ThrowingKnife_Weapon,0.7,0.5,1.0,0.33,0.0,0.25,0.25,1.0,0.0,0,0.25,1.833,20.0
006f53fa,AC_MQ02_Stage_ThrowingPie_Grenade,0.7,0.1,0.3,0.15,2.333,0.25,0.25,1.0,0.0,0,0.5,1.833,20.0
0076aaa4,AC_MQ02_StarClown_Weapon_NONPLAYABLE,,,,,,,,1.5,0.0,0,20.0,1.8,45.0
00424b66,ATX_AssaultronHeadCharging_Imposter,0.0,0.7,0.2,0.2,0.833,0.2,0.2,1.0,0.15,5,8.0,0.667,30.0
00498710,ATX_CroquetMallet,,,,,,,,1.0,0.0,0,2.0,1.8,20.0
004716ba,ATX_CroquetMallet_Red,,,,,,,,1.0,0.0,0,2.0,1.8,20.0
00554447,ATX_Firework_Mine_Blue,0.7,0.1,0.3,0.15,2.333,0.25,0.25,1.0,0.0,0,0.1,1.833,0.0
0055c52b,ATX_Firework_Mine_Crackle,0.7,0.1,0.3,0.15,2.333,0.25,0.25,1.0,0.0,0,0.1,1.833,0.0
005566d5,ATX_Firework_Mine_Green,0.7,0.1,0.3,0.15,2.333,0.25,0.25,1.0,0.0,0,0.1,1.833,0.0
00554590,ATX_Firework_Mine_Red,0.7,0.1,0.3,0.15,2.333,0.25,0.25,1.0,0.0,0,0.1,1.833,0.0
005566d6,ATX_Firework_Mine_Trails,0.7,0.1,0.3,0.15,2.333,0.25,0.25,1.0,0.0,0,0.1,1.833,0.0
005a5316,ATX_Grognak_HockeyStick,,,,,,,,1.0,0.0,0,10.0,1.8,20.0
005ef6f9,ATX_KDInkwell_Quill,,,,,,,,1.0,0.0,0,2.0,1.139,30.0
004fd64b,ATX_Sten,0.0,0.9,0.9,0.25,4.0,0.2,0.2,1.25,0.15,5,6.0,0.833,28.0
0059561c,ATX_TurkeyRipper,,,,,,,,1.0,0.0,0,6.0,1.139,40.0
005576ca,ATX_Weapon_Melee_GardenTrowel,,,,,,,,1.0,0.0,0,2.0,1.139,30.0
000ff995,AlienBlaster,0.0,0.9,0.8,0.2,2.867,0.12,0.15,1.0,0.1,42,2.0,0.667,20.0
00684974,AlienBlaster_DailyOps,0.0,0.9,0.8,0.2,2.867,0.12,0.15,1.0,0.25,42,2.0,0.667,20.0
0062fe8e,AlienRifle,0.0,0.8,0.8,0.2,3.2,0.2,0.2,1.0,0.3,25,7.0,0.833,25.0
0000463f,AssaultRifle,0.0,0.8,0.8,0.2,1.933,0.2,0.2,1.0,0.25,20,8.0,0.667,32.0
005e51e6,AssaultRifle_WhistleInTheDark,0.0,0.8,0.8,0.2,1.933,0.2,0.2,1.0,0.25,20,8.0,0.667,32.0
006361a2,AutoAxe,0.667,1.0,1.0,0.15,3.367,0.3,0.3,0.5,1.0,0,12.0,2.2,4.0
00652f6c,AutoAxe_NONPLAYABLE,0.667,1.0,1.0,0.15,3.367,0.3,0.3,0.5,1.0,0,12.0,2.2,30.0
00182634,AutoGrenadeLauncher,0.033,1.0,1.0,0.15,5.0,0.3,0.3,0.8,0.5,12,18.0,0.833,30.0
005e47ee,BOSRocketLauncher,0.0,0.8,0.8,0.4,3.333,0.25,0.2,1.0,0.7,4,13.0,0.833,45.0
005efa6a,BOSRocketLauncher_NONPLAYABLE,0.0,0.8,0.8,0.4,3.333,0.25,0.2,1.0,0.7,4,13.0,0.833,45.0
0008e736,BaseballBat,,,,,,,,1.0,0.0,0,3.0,1.8,35.0
00107bd6,BaseballGrenade,0.7,0.1,0.3,0.15,2.333,0.25,0.25,1.0,0.0,0,1.0,1.833,20.0
0008c14d,Baton,,,,,,,,1.0,0.0,0,2.0,1.139,30.0
003f06e2,BearArm,,,,,,,,1.0,0.0,0,10.0,1.139,40.0
00091bb4,BlackPowder_Rifle,0.0,0.9,0.9,0.25,8.0,0.2,0.2,1.0,0.0,1,6.0,0.833,28.0
00046946,BlackPowder_Rifle_Dragon,0.0,0.9,0.9,0.25,13.0,0.2,0.2,1.0,0.0,1,6.0,0.833,28.0
00003aac,Blackpowder_Pistol,0.0,0.6,0.6,0.2,5.0,0.12,0.15,1.0,0.0,1,3.0,0.667,28.0
00003aad,Blackpowder_Pistol_Blunderbuss,0.0,0.6,0.6,0.2,5.0,0.12,0.15,1.0,0.0,1,3.0,0.667,28.0
005e6fc0,BoSPistol,0.0,0.6,0.6,0.2,1.967,0.12,0.15,1.0,0.233,12,3.0,0.667,20.0
0005c250,Board,,,,,,,,1.0,0.0,0,3.0,1.8,33.0
003643da,BoneClub,,,,,,,,1.0,0.0,0,3.0,1.139,30.0
00573f01,BoneTambo,,,,,,,,1.0,0.0,0,0.5,1.139,25.0
003643d9,Bonehammer,,,,,,,,1.0,0.0,0,12.0,1.8,40.0
000311de,BowieKnife,,,,,,,,1.0,0.0,0,1.0,0.794,20.0
0016498f,BoxingGlove,,,,,,,,1.0,0.0,0,1.0,1.139,25.0
000fd11b,Broadsider,0.0,1.0,1.0,0.5,3.933,0.3,0.3,1.0,0.5,1,16.0,1.0,40.0
0045c491,CUT_P01E_Heart_Bouquet_NONPLAYABLE,,,,,,,,1.0,0.0,0,2.0,1.1388938426971436,30.0
0045c49a,CUT_P01E_Heart_PerfumeGrenade_NONPLAYABLE,0.699999988079071,0.10000000149011612,0.30000001192092896,0.15000000596046448,2.3333001136779785,0.25,0.25,1.0,0.0,0,0.5,1.8333333730697632,20.0
002ba1d9,CamdenWhackerWeapon,,,,,,,,1.0,0.0,0,2.0,1.139,25.0
00548794,Camera_Disposable,0.3,0.8,0.6,0.2,10.0,0.15,0.15,0.3,0.6,6,0.1,0.3,20.0
0046f481,Camera_SnapMatic,0.3,0.8,0.6,0.2,10.0,0.15,0.15,0.3,0.6,6,0.1,0.3,20.0
0055c153,Cattleprod,,,,,,,,1.0,0.0,0,2.0,1.139,30.0
0055c153,Cattleprod,,,,,,,,1.0,0.0,0,2.0,1.139,30.0
0004df01,Chainsaw_76,0.667,1.0,1.0,0.15,3.367,0.3,0.3,0.5,1.0,0,12.0,2.2,4.0
003c96e5,CharGen_Binoculars_NoName,0.3,0.8,0.6,0.2,10.0,0.15,0.15,1.0,0.1,30,2.0,0.3,20.0
003c96e6,CharGen_GolfClub_NoName,,,,,,,,1.0,0.0,0,12.0,1.8,40.0
00147be4,ChineseOfficerSword,,,,,,,,1.0,0.0,0,3.0,1.139,35.0
000df42e,CombatRifle,0.0,0.8,0.8,0.2,3.2,0.2,0.2,1.0,0.3,20,7.0,0.833,25.0
0046d2a1,CombatRifle_Fixer,0.0,0.8,0.8,0.2,3.2,0.2,0.2,1.0,0.3,20,5.0,0.833,25.0
0014831c,CombatShotgun,0.0,0.9,0.9,0.2,3.2,0.2,0.2,1.0,0.5,8,7.0,0.833,35.0
00013ce9,CompoundBow,0.0,0.6,0.6,0.2,2.667,0.15,0.15,1.0,0.5,1,3.0,0.833,20.0
00699ab0,CrMolotovCocktail,0.7,0.1,0.3,0.15,2.333,0.25,0.25,1.0,0.0,0,0.5,1.833,20.0
0059b54f,Creature_Holiday_Weapon_CandyCane,,,,,,,,1.0,0.0,0,2.0,1.139,20.0
0059b550,Creature_Holiday_Weapon_SlayBells,,,,,,,,1.0,0.0,0,0.5,1.139,25.0
